




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1146)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of ion transmembrane transporter activity (GO:0032412)	272	44	15.14	+	2.91	3.89E-09	4.65E-07
blood vessel development (GO:0001568)	492	64	27.38	+	2.34	3.96E-09	4.71E-07
regulation of transmembrane transporter activity (GO:0022898)	283	45	15.75	+	2.86	4.14E-09	4.88E-07
taxis (GO:0042330)	550	69	30.60	+	2.25	4.30E-09	5.03E-07
response to endogenous stimulus (GO:0009719)	1426	136	79.35	+	1.71	4.61E-09	5.36E-07
regulation of cell motility (GO:2000145)	954	101	53.08	+	1.90	4.82E-09	5.52E-07
cell junction organization (GO:0034330)	502	65	27.93	+	2.33	4.80E-09	5.54E-07
inorganic cation transmembrane transport (GO:0098662)	573	71	31.88	+	2.23	4.90E-09	5.58E-07
regulation of cell migration (GO:0030334)	892	96	49.63	+	1.93	5.75E-09	6.49E-07
synapse organization (GO:0050808)	289	45	16.08	+	2.80	7.31E-09	8.20E-07
biological adhesion (GO:0022610)	959	101	53.36	+	1.89	7.60E-09	8.46E-07
regulation of cell development (GO:0060284)	500	64	27.82	+	2.30	8.19E-09	9.06E-07
vasculature development (GO:0001944)	514	65	28.60	+	2.27	8.29E-09	9.09E-07
ear development (GO:0043583)	220	38	12.24	+	3.10	9.52E-09	1.04E-06
cell adhesion (GO:0007155)	953	100	53.03	+	1.89	1.05E-08	1.14E-06
metabolic process (GO:0008152)	8313	366	462.57	-	.79	1.11E-08	1.19E-06
negative regulation of cell death (GO:0060548)	1008	104	56.09	+	1.85	1.12E-08	1.20E-06
ion transport (GO:0006811)	1200	118	66.77	+	1.77	1.16E-08	1.23E-06
positive regulation of RNA metabolic process (GO:0051254)	1773	159	98.66	+	1.61	1.27E-08	1.34E-06
regulation of transcription by RNA polymerase II (GO:0006357)	2595	214	144.40	+	1.48	1.36E-08	1.42E-06
extracellular matrix organization (GO:0030198)	383	53	21.31	+	2.49	1.42E-08	1.46E-06
ion transmembrane transport (GO:0034220)	870	93	48.41	+	1.92	1.41E-08	1.47E-06
extracellular structure organization (GO:0043062)	384	53	21.37	+	2.48	1.52E-08	1.56E-06
cellular macromolecule catabolic process (GO:0044265)	925	16	51.47	-	.31	1.53E-08	1.56E-06
cell surface receptor signaling pathway (GO:0007166)	2495	207	138.83	+	1.49	1.72E-08	1.75E-06
external encapsulating structure organization (GO:0045229)	386	53	21.48	+	2.47	1.74E-08	1.76E-06
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	2	24.54	-	.08	1.88E-08	1.88E-06
negative regulation of programmed cell death (GO:0043069)	914	96	50.86	+	1.89	1.94E-08	1.93E-06
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	164	103.67	+	1.58	1.97E-08	1.94E-06
regulation of synaptic plasticity (GO:0048167)	188	34	10.46	+	3.25	2.11E-08	2.08E-06
skeletal system development (GO:0001501)	479	61	26.65	+	2.29	2.30E-08	2.24E-06
regulation of synapse assembly (GO:0051963)	99	24	5.51	+	4.36	2.32E-08	2.25E-06
positive regulation of cellular biosynthetic process (GO:0031328)	1969	171	109.56	+	1.56	2.36E-08	2.28E-06
negative regulation of developmental process (GO:0051093)	879	93	48.91	+	1.90	2.48E-08	2.38E-06
mRNA metabolic process (GO:0016071)	697	9	38.78	-	.23	2.59E-08	2.47E-06
regulation of transporter activity (GO:0032409)	300	45	16.69	+	2.70	2.65E-08	2.51E-06
gland development (GO:0048732)	414	55	23.04	+	2.39	2.71E-08	2.55E-06
regulation of synapse organization (GO:0050807)	210	36	11.69	+	3.08	2.75E-08	2.57E-06
embryonic organ development (GO:0048568)	435	57	24.21	+	2.35	2.89E-08	2.68E-06
positive regulation of biosynthetic process (GO:0009891)	2004	173	111.51	+	1.55	3.01E-08	2.78E-06
regulation of synapse structure or activity (GO:0050803)	221	37	12.30	+	3.01	3.05E-08	2.80E-06
cation transmembrane transport (GO:0098655)	641	74	35.67	+	2.07	3.09E-08	2.82E-06
regulation of secretion by cell (GO:1903530)	581	69	32.33	+	2.13	3.18E-08	2.88E-06
response to oxygen-containing compound (GO:1901700)	1604	145	89.25	+	1.62	3.71E-08	3.35E-06
positive regulation of signal transduction (GO:0009967)	1584	143	88.14	+	1.62	4.43E-08	3.98E-06
inner ear development (GO:0048839)	195	34	10.85	+	3.13	4.64E-08	4.14E-06
divalent inorganic cation homeostasis (GO:0072507)	481	60	26.77	+	2.24	4.93E-08	4.35E-06
circulatory system process (GO:0003013)	481	60	26.77	+	2.24	4.93E-08	4.37E-06
sensory perception of smell (GO:0007608)	468	3	26.04	-	.12	5.07E-08	4.45E-06
regulation of neurotransmitter receptor activity (GO:0099601)	80	21	4.45	+	4.72	5.49E-08	4.79E-06
DNA metabolic process (GO:0006259)	777	12	43.24	-	.28	5.57E-08	4.84E-06
muscle structure development (GO:0061061)	473	59	26.32	+	2.24	6.53E-08	5.64E-06
regulation of apoptotic process (GO:0042981)	1493	136	83.08	+	1.64	6.81E-08	5.85E-06
signal transduction (GO:0007165)	5227	375	290.85	+	1.29	7.01E-08	5.99E-06
cellular macromolecule metabolic process (GO:0044260)	4909	196	273.16	-	.72	7.35E-08	6.25E-06
heart development (GO:0007507)	535	64	29.77	+	2.15	7.66E-08	6.47E-06
endocrine system development (GO:0035270)	124	26	6.90	+	3.77	7.74E-08	6.51E-06
kidney development (GO:0001822)	282	42	15.69	+	2.68	9.10E-08	7.61E-06
positive regulation of cellular metabolic process (GO:0031325)	3314	256	184.41	+	1.39	9.20E-08	7.65E-06
neuron migration (GO:0001764)	117	25	6.51	+	3.84	1.00E-07	8.29E-06
kidney epithelium development (GO:0072073)	126	26	7.01	+	3.71	1.02E-07	8.39E-06
spinal cord development (GO:0021510)	100	23	5.56	+	4.13	1.03E-07	8.46E-06
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	4	27.04	-	.15	1.08E-07	8.79E-06
response to organic substance (GO:0010033)	3008	236	167.38	+	1.41	1.16E-07	9.39E-06
cognition (GO:0050890)	298	43	16.58	+	2.59	1.17E-07	9.41E-06
cation transport (GO:0006812)	824	86	45.85	+	1.88	1.30E-07	1.04E-05
blood circulation (GO:0008015)	390	51	21.70	+	2.35	1.34E-07	1.07E-05
regulation of neuron projection development (GO:0010975)	447	56	24.87	+	2.25	1.43E-07	1.13E-05
negative regulation of cell differentiation (GO:0045596)	644	72	35.84	+	2.01	1.44E-07	1.13E-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	243	173.78	+	1.40	1.43E-07	1.13E-05
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	165	108.01	+	1.53	1.49E-07	1.17E-05
ncRNA metabolic process (GO:0034660)	521	5	28.99	-	.17	1.60E-07	1.25E-05
cellular response to endogenous stimulus (GO:0071495)	1152	110	64.10	+	1.72	1.68E-07	1.30E-05
negative regulation of apoptotic process (GO:0043066)	895	91	49.80	+	1.83	1.72E-07	1.32E-05
regulation of cellular component organization (GO:0051128)	2390	195	132.99	+	1.47	1.73E-07	1.33E-05
regulation of signaling receptor activity (GO:0010469)	188	32	10.46	+	3.06	1.85E-07	1.41E-05
macromolecule catabolic process (GO:0009057)	1058	23	58.87	-	.39	1.85E-07	1.41E-05
negative regulation of neuron death (GO:1901215)	209	34	11.63	+	2.92	2.00E-07	1.51E-05
regulation of secretion (GO:0051046)	639	71	35.56	+	2.00	2.10E-07	1.58E-05
morphogenesis of a branching epithelium (GO:0061138)	160	29	8.90	+	3.26	2.18E-07	1.63E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3522	267	195.98	+	1.36	2.27E-07	1.69E-05
renal tubule development (GO:0061326)	81	20	4.51	+	4.44	2.63E-07	1.95E-05
positive regulation of nervous system development (GO:0051962)	274	40	15.25	+	2.62	2.65E-07	1.95E-05
response to organic cyclic compound (GO:0014070)	900	91	50.08	+	1.82	2.66E-07	1.96E-05
sensory organ morphogenesis (GO:0090596)	261	39	14.52	+	2.69	2.68E-07	1.96E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	70	35.11	+	1.99	2.79E-07	2.02E-05
nephron epithelium development (GO:0072009)	98	22	5.45	+	4.03	2.79E-07	2.03E-05
ion homeostasis (GO:0050801)	773	81	43.01	+	1.88	2.84E-07	2.05E-05
positive regulation of metabolic process (GO:0009893)	3820	285	212.56	+	1.34	2.86E-07	2.05E-05
regulation of postsynaptic membrane potential (GO:0060078)	99	22	5.51	+	3.99	3.24E-07	2.32E-05
nephron development (GO:0072006)	126	25	7.01	+	3.57	3.40E-07	2.42E-05
calcium ion homeostasis (GO:0055074)	438	54	24.37	+	2.22	3.47E-07	2.46E-05
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	38	14.08	+	2.70	3.70E-07	2.61E-05
telencephalon development (GO:0021537)	254	38	14.13	+	2.69	3.85E-07	2.69E-05
regulation of cell projection organization (GO:0031344)	648	71	36.06	+	1.97	3.85E-07	2.70E-05
negative regulation of neuron apoptotic process (GO:0043524)	146	27	8.12	+	3.32	4.00E-07	2.78E-05
DNA repair (GO:0006281)	531	6	29.55	-	.20	4.04E-07	2.80E-05
metal ion homeostasis (GO:0055065)	626	69	34.83	+	1.98	4.08E-07	2.82E-05
learning or memory (GO:0007611)	256	38	14.25	+	2.67	4.23E-07	2.91E-05
cellular protein-containing complex assembly (GO:0034622)	867	17	48.24	-	.35	4.51E-07	3.09E-05
nephron tubule development (GO:0072080)	77	19	4.28	+	4.43	5.25E-07	3.55E-05
potassium ion transmembrane transport (GO:0071805)	158	28	8.79	+	3.18	5.24E-07	3.55E-05
regulation of neuron death (GO:1901214)	316	43	17.58	+	2.45	5.22E-07	3.56E-05
adaptive immune response (GO:0002250)	658	10	36.61	-	.27	5.86E-07	3.94E-05
morphogenesis of a branching structure (GO:0001763)	169	29	9.40	+	3.08	5.93E-07	3.97E-05
neuron fate commitment (GO:0048663)	62	17	3.45	+	4.93	5.98E-07	3.99E-05
response to chemical (GO:0042221)	4381	317	243.78	+	1.30	6.17E-07	4.10E-05
cellular divalent inorganic cation homeostasis (GO:0072503)	460	55	25.60	+	2.15	6.59E-07	4.36E-05
regulation of protein phosphorylation (GO:0001932)	1218	112	67.78	+	1.65	6.85E-07	4.51E-05
cell migration (GO:0016477)	968	94	53.86	+	1.75	6.94E-07	4.55E-05
embryonic organ morphogenesis (GO:0048562)	295	41	16.42	+	2.50	7.32E-07	4.78E-05
regulation of neuron differentiation (GO:0045664)	193	31	10.74	+	2.89	8.68E-07	5.64E-05
regulation of cellular response to growth factor stimulus (GO:0090287)	299	41	16.64	+	2.46	8.81E-07	5.71E-05
regulation of nervous system process (GO:0031644)	146	26	8.12	+	3.20	1.22E-06	7.86E-05
ncRNA processing (GO:0034470)	436	4	24.26	-	.16	1.33E-06	8.50E-05
cell projection organization (GO:0030030)	1221	111	67.94	+	1.63	1.33E-06	8.53E-05
sensory perception of mechanical stimulus (GO:0050954)	177	29	9.85	+	2.94	1.36E-06	8.68E-05
potassium ion transport (GO:0006813)	167	28	9.29	+	3.01	1.38E-06	8.78E-05
positive regulation of phosphate metabolic process (GO:0045937)	998	95	55.53	+	1.71	1.40E-06	8.80E-05
positive regulation of phosphorus metabolic process (GO:0010562)	998	95	55.53	+	1.71	1.40E-06	8.84E-05
inorganic ion homeostasis (GO:0098771)	724	75	40.29	+	1.86	1.49E-06	9.32E-05
inner ear morphogenesis (GO:0042472)	101	21	5.62	+	3.74	1.52E-06	9.48E-05
positive regulation of intracellular signal transduction (GO:1902533)	1040	98	57.87	+	1.69	1.54E-06	9.60E-05
negative regulation of cell population proliferation (GO:0008285)	703	73	39.12	+	1.87	1.61E-06	1.00E-04
reproductive structure development (GO:0048608)	416	50	23.15	+	2.16	1.74E-06	1.07E-04
ribonucleoprotein complex biogenesis (GO:0022613)	462	5	25.71	-	.19	1.75E-06	1.07E-04
organelle organization (GO:0006996)	3567	138	198.48	-	.70	1.81E-06	1.11E-04
translation (GO:0006412)	387	3	21.53	-	.14	1.85E-06	1.13E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	1	16.86	-	.06	1.88E-06	1.14E-04
mRNA splicing, via spliceosome (GO:0000398)	303	1	16.86	-	.06	1.88E-06	1.14E-04
RNA splicing, via transesterification reactions (GO:0000375)	306	1	17.03	-	.06	1.92E-06	1.16E-04
hindbrain development (GO:0030902)	151	26	8.40	+	3.09	2.11E-06	1.27E-04
plasma membrane bounded cell projection organization (GO:0120036)	1175	107	65.38	+	1.64	2.20E-06	1.32E-04
anterior/posterior pattern specification (GO:0009952)	203	31	11.30	+	2.74	2.23E-06	1.33E-04
branching morphogenesis of an epithelial tube (GO:0048754)	132	24	7.35	+	3.27	2.25E-06	1.34E-04
regulation of blood circulation (GO:1903522)	278	38	15.47	+	2.46	2.52E-06	1.49E-04
sensory system development (GO:0048880)	374	46	20.81	+	2.21	2.57E-06	1.52E-04
detection of chemical stimulus (GO:0009593)	522	7	29.05	-	.24	2.66E-06	1.56E-04
reproductive system development (GO:0061458)	419	50	23.32	+	2.14	2.80E-06	1.64E-04
response to stimulus (GO:0050896)	8540	556	475.20	+	1.17	2.85E-06	1.67E-04
cellular protein catabolic process (GO:0044257)	644	11	35.84	-	.31	2.99E-06	1.74E-04
eye development (GO:0001654)	364	45	20.25	+	2.22	3.08E-06	1.78E-04
cell population proliferation (GO:0008283)	485	55	26.99	+	2.04	3.24E-06	1.86E-04
positive regulation of MAPK cascade (GO:0043410)	525	58	29.21	+	1.99	3.23E-06	1.86E-04
cellular calcium ion homeostasis (GO:0006874)	425	50	23.65	+	2.11	3.40E-06	1.93E-04
camera-type eye development (GO:0043010)	317	41	17.64	+	2.32	3.39E-06	1.94E-04
negative regulation of locomotion (GO:0040013)	317	41	17.64	+	2.32	3.39E-06	1.94E-04
positive regulation of neurogenesis (GO:0050769)	227	33	12.63	+	2.61	3.47E-06	1.97E-04
neuron fate specification (GO:0048665)	28	11	1.56	+	7.06	3.56E-06	2.01E-04
positive regulation of cell projection organization (GO:0031346)	353	44	19.64	+	2.24	3.60E-06	2.02E-04
RNA splicing (GO:0008380)	409	4	22.76	-	.18	3.75E-06	2.10E-04
regulation of phosphorylation (GO:0042325)	1391	121	77.40	+	1.56	3.86E-06	2.15E-04
cellular metal ion homeostasis (GO:0006875)	561	61	31.22	+	1.95	3.96E-06	2.20E-04
cation homeostasis (GO:0055080)	710	72	39.51	+	1.82	4.07E-06	2.26E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	321	41	17.86	+	2.30	4.12E-06	2.28E-04
limbic system development (GO:0021761)	109	21	6.07	+	3.46	4.34E-06	2.39E-04
regulation of growth (GO:0040008)	661	68	36.78	+	1.85	4.47E-06	2.45E-04
